germplasmName,observationUnitName,notes
IL2022-14315,SI_Urb_23-1318,"hd:N, obs:Poor"
IL2022-6018,SI_Urb_23-1319,"hd:E, obs:Good"
IL2022F4S-17902,SI_Urb_23-132,"hd:L, obs:Fair"
IL2022-3862,SI_Urb_23-1320,"hd:E, obs:Fair"
IL2022-21974,SI_Urb_23-1321,"hd:E, obs:Normal"
IL2022-19766,SI_Urb_23-1322,"hd:N, obs:Fair"
IL2022-24110,SI_Urb_23-1323,"hd:E, obs:Fair"
IL2022-12949,SI_Urb_23-1324,"hd:N, obs:Fair"
IL2022-20325,SI_Urb_23-1325,"hd:E, obs:Normal"
IL2022-9874,SI_Urb_23-1326,"hd:E, obs:Normal"
IL2022-12879,SI_Urb_23-1327,"hd:N, obs:Fair"
IL2022-8061,SI_Urb_23-1328,"hd:N, obs:Fair"
IL2022-14944,SI_Urb_23-1329,"hd:N, obs:Normal"
IL2022F4S-10103,SI_Urb_23-133,obs:Normal
IL2022-18954,SI_Urb_23-1330,"hd:L, obs:Normal"
IL2022-3950,SI_Urb_23-1331,"hd:E, obs:Fair"
IL2022-7608,SI_Urb_23-1332,"hd:N, obs:Normal"
IL2022-15961,SI_Urb_23-1333,"hd:N, obs:Normal"
IL2022-14846,SI_Urb_23-1334,"hd:E, obs:Normal"
IL2022-473,SI_Urb_23-1335,"hd:N, obs:Poor"
IL2022-16344,SI_Urb_23-1336,"hd:N, obs:Poor"
IL2022-12929,SI_Urb_23-1337,"hd:E, vve, obs:Normal"
IL2022-18736,SI_Urb_23-1338,"hd:N, obs:Fair"
IL2022-9861,SI_Urb_23-1339,"hd:N, obs:Normal"
IL2022F4S-11702,SI_Urb_23-134,obs:Normal
IL2022-3866,SI_Urb_23-1340,"hd:E, obs:Fair"
IL2022-16662,SI_Urb_23-1341,"hd:E, obs:Normal"
IL2022-10352,SI_Urb_23-1342,hd:L
IL2022-10131,SI_Urb_23-1343,"hd:N, obs:Fair"
IL2022-14232,SI_Urb_23-1344,"hd:N, obs:Poor"
IL2022-20730,SI_Urb_23-1345,"hd:N, obs:Poor"
IL2022-13524,SI_Urb_23-1346,"hd:N, obs:Normal"
